S0003375,중식,1153010900,서울특별시,구로구,궁동,\N,1153079000,수궁동,115303000019,부일로
S0023446,중식,5013010600,제주특별자치도,서귀포시,서홍동,\N,5013058000,서홍동,501303350347,중앙로
S0029492,치킨,4825010700,경상남도,김해시,삼계동,\N,4825055000,북부동,482504805031,가야로147번길
S0031321,심부름,4513014400,전라북도,군산시,나운동,\N,4513070100,나운1동,451303268023,대학로
S0049809,한식,5013010100,제주특별자치도,서귀포시,서귀동,\N,5013053000,중앙동,501304850198,동홍로8번길
S0056794,중식,1153010900,서울특별시,구로구,궁동,\N,1153079000,수궁동,115304148353,부일로13길
S0059058,한식,4817012000,경상남도,진주시,하대동,\N,4817067800,하대동,481704796379,도동로184번길
S0059783,한식,1153010200,서울특별시,구로구,구로동,\N,1153056000,구로5동,115304148197,공원로9길
S0064801,중식,1153010900,서울특별시,구로구,궁동,\N,1153079000,수궁동,115303000022,오리로
S0069540,한식,2644010400,부산광역시,강서구,명지동,\N,2644053500,명지1동,264403350853,명지국제2로28번길
S0077869,치킨,4143010300,경기도,의왕시,삼동,\N,4143052000,부곡동,414303201032,철도박물관로
S0077870,치킨,4143010300,경기도,의왕시,삼동,\N,4143052000,부곡동,414303201032,철도박물관로
S0077991,카페/디저트,4817013700,경상남도,진주시,충무공동,\N,4817075000,충무공동,481703350072,에나로175번길
S0078124,카페/디저트,5013010600,제주특별자치도,서귀포시,서홍동,\N,5013058000,서홍동,501304851148,홍중로27번길
S0078131,돈까스/일식,4122010100,경기도,평택시,서정동,\N,4122052000,서정동,412203188050,신서로
S0078132,돈까스/일식,4122010100,경기도,평택시,서정동,\N,4122052000,서정동,412203188050,신서로
S0078397,한식,4785025622,경상북도,칠곡군,석적읍,중리,4785025600,석적읍,478504766223,동중리9길
S0078473,한식,4136025328,경기도,남양주시,진접읍,금곡리,4136025300,진접읍,413604391778,해밀예당1로236번길
S0079298,한식,4617010200,전라남도,나주시,송월동,\N,4617051000,송월동,\N,\N
S0081007,찜탕,4122025330,경기도,평택시,안중읍,현화리,4122025300,안중읍,412204364471,안현로서9길
S0087709,한식,4313010500,충청북도,충주시,교현동,\N,4313054000,교현2동,431303238028,봉현로
S0087883,심부름,4122010900,경기도,평택시,이충동,\N,4122051000,중앙동,412203188047,송탄로
S0087884,심부름,4122010100,경기도,평택시,서정동,\N,4122052000,서정동,412203188006,관광특구로
S0088470,한식,2629010600,부산광역시,남구,대연동,\N,2629054000,대연4동,262903131036,천제등로
S0089979,중식,4115011100,경기도,의정부시,녹양동,\N,4115062000,녹양동,411503181020,비우로
S0089986,중식,1153010900,서울특별시,구로구,궁동,\N,1153079000,수궁동,115303000022,오리로
S0095196,중식,4115010900,경기도,의정부시,금오동,\N,4115058000,자금동,411504343512,금오로72번길
S0095197,중식,4115010900,경기도,의정부시,금오동,\N,4115058000,자금동,411504343512,금오로72번길
S0097402,찜탕,4122025330,경기도,평택시,안중읍,현화리,4122025300,안중읍,412204364471,안현로서9길
S0097599,중식,1153010900,서울특별시,구로구,궁동,\N,1153079000,수궁동,115303000019,부일로
S0098633,중식,1153010900,서울특별시,구로구,궁동,\N,1153079000,수궁동,115303000022,오리로
S0099011,중식,1153010900,서울특별시,구로구,궁동,\N,1153079000,수궁동,115304148353,부일로13길
S0100695,중식,4115010900,경기도,의정부시,금오동,\N,4115058000,자금동,411504343512,금오로72번길
S0100696,중식,4115010900,경기도,의정부시,금오동,\N,4115058000,자금동,411504343512,금오로72번길
S0100697,중식,4115010900,경기도,의정부시,금오동,\N,4115058000,자금동,411504343512,금오로72번길
S0101582,중식,5013010100,제주특별자치도,서귀포시,서귀동,\N,5013053000,중앙동,501304850836,중정로61번길
S0101854,아시안/양식,5013010100,제주특별자치도,서귀포시,서귀동,\N,5013052000,정방동,501303350269,태평로
S0103612,중식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181019,부용로
S0103613,중식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181019,부용로
S0103826,중식,4115011100,경기도,의정부시,녹양동,\N,4115062000,녹양동,411503181020,비우로
S0104259,찜탕,4122025330,경기도,평택시,안중읍,현화리,4122025300,안중읍,412204364471,안현로서9길
S0105957,중식,5013010100,제주특별자치도,서귀포시,서귀동,\N,5013053000,중앙동,501304850839,중정로91번길
S0107400,중식,4163034024,경기도,양주시,장흥면,석현리,4163034000,장흥면,416303212007,권율로
